Reviewer Name,Country,Rating,Review Title,final_score,if_score,ae_score
customer,US,Rated 2 out of 5 stars,AMAZON IS HORRIBLE HORRIBLE HORRIBLE…,0.848926,0.776221,0.897396
Jami,US,Rated 5 out of 5 stars,CAN'T GO WRONG ON AMAZON.COM,0.731575,0.639017,0.79328
goku,IN,Rated 5 out of 5 stars,testing website,0.723735,0.309338,1.0
Peter Panarius,NL,Rated 1 out of 5 stars,Banning books about anti-immigration or…,0.71706,0.646449,0.764133
Yuuki,GB,Rated 4 out of 5 stars,shipping!,0.713886,0.719918,0.709864
Joanna,US,Rated 5 out of 5 stars,i buy there alwyas,0.697727,0.634712,0.739737
Santiraj Murmu,IN,Rated 4 out of 5 stars,Camplant Customer Services,0.682513,0.631971,0.716207
Tanandorn Paanekphankul,TH,Rated 4 out of 5 stars,nice !,0.681473,0.846539,0.571428
Zeyu Cui,US,Rated 4 out of 5 stars,Great website,0.677235,0.732353,0.640489
William James,US,Rated 5 out of 5 stars,Reliable Income Source!,0.664149,0.492308,0.778709
TrevorDG,GB,Rated 3 out of 5 stars,Amazon books orders,0.653679,0.750632,0.589044
Valentino Sagab,GB,Rated 1 out of 5 stars,A horrible and overly complicated…,0.641654,0.301272,0.868575
Kim,GB,Rated 5 out of 5 stars,My favourite site,0.639687,0.509427,0.726526
Warren,US,Rated 1 out of 5 stars,Amazon.com = Awful,0.639651,0.350374,0.832502
Kristyn Cooke Young,US,Rated 5 out of 5 stars,everything,0.6306,0.400623,0.783918
Mariusz,GB,Rated 1 out of 5 stars,fcuk your ads Amazon !!,0.623865,0.769448,0.52681
Rahot Shangri,IN,Rated 3 out of 5 stars,9832102621,0.623667,0.46224,0.731284
Bhakta Raj Limbu,HK,Rated 3 out of 5 stars,This business website is superb,0.623572,0.517388,0.694362
Sharif--Miah,GB,Rated 1 out of 5 stars,Absolutely horrible customer service,0.61914,0.541557,0.670862
Jose,US,Rated 4 out of 5 stars,Really happy with items purchased,0.616831,0.384722,0.77157
